Bassett, Richard 
Ogden, Aaron 
Olcott, Simeon 
Peirce, Joseph 
Perkins, Elias 
Read, Nathan 
Rutledge, John 
Sheafe, James 
Shepard, William 
Smith, Josiah 
Sprigg, "Richard "
Stratton, John 
Taliaferro, Benjamin 
Tillinghast, Thomas 
Tracy, Uriah 
Upham, George Baxter
Van Ness, John Peter
Walker, Benjamin 
Williams, Robert 
Woods, Henry 
Butler, Pierce 
Clinton, De Witt
Plumer, William 
Bailey, Theodorus 
Baldwin, Simeon 
Bowie, Walter 
Bruce, Phineas 
Claiborne, Thomas 
Cutler, Manasseh 
Dennis, John 
Dwight, Thomas 
Earle, John Baylis
Gillespie, James 
Griffin, Thomas 
Griswold, Gaylord 
Hammond, Samuel 
Hampton, Wade 
Hiester, Daniel 
Hoge, John 
Hunt, Samuel 
Larned, Simon 
Lewis, Thomas 
Lowndes, Thomas 
Maclay, Samuel 
McCord, Andrew 
Mitchell, Nahum 
Mott, James 
Palmer, Beriah 
Paterson, John 
Phelps, Oliver 
Plater, Thomas 
Potter, Samuel John
Purviance, Samuel Dinsmore
Skinner, Thomson Joseph
Smith, Israel 
Smith, John 
Stewart, John 
Thatcher, Samuel 
Tibbits, George 
Trigg, John Johns
Van Horne, Isaac 
Venable, Abraham Bedford
White, Samuel 
Williams, Lemuel 
Armstrong, John 
Howland, Benjamin 
Moore, Andrew 
Alexander, Nathaniel 
Anderson, Isaac 
Archer, John 
Baldwin, Abraham 
Bedinger, George Michael
Betton, Silas 
Bishop, Phanuel 
Bryan, Joseph 
Casey, Levi 
Clark, Christopher Henderson
Conrad, Frederick 
Covington, Leonard 
Dickson, William 
Dwight, Theodore 
Early, Peter 
Ellis, Caleb 
Elmer, Ebenezer 
Fenner, James 
Fowler, John 
Goddard, Calvin 
Griswold, Roger 
Halsey, Silas 
Hamilton, John 
Hanna, John Andre
Hastings, Seth 
Hough, David 
Kitchell, Aaron 
Livingston, Henry Walter
Lower, Christian 
Lucas, John Baptiste Charles
Magruder, Patrick 
McFarlan, Duncan 
Mead, Cowles 
Meriwether, David 
Nicholson, Joseph Hopper
Olin, Gideon 
Randolph, Thomas Mann
Sailly, Peter 
Sandford, Thomas 
Schuneman, Martin Gerretsen
Smith, Daniel 
Smith, John Cotton
Smith, O’Brien 
Spalding, Thomas 
Stanton, Joseph 
Sumter, Thomas 
Tenney, Samuel 
Thompson, Philip Rootes
Thruston, Buckner 
Wadsworth, Peleg 
Walton, Matthew 
Whitehill, John 
Wickes, Eliphalet 
Williams, Nathan 
Winston, Joseph 
Wynns, Thomas 
Milledge, John 
Alexander, Evan Shelby
Barker, Joseph 
Bidwell, Barnabas 
Blake, John 
Boyle, John 
Bradley, Stephen Row
Broom, James Madison
Carleton, Peter 
Claiborne, John 
Clark, Daniel 
Clay, Joseph 
Clinton, George 
Crowninshield, Jacob 
Darby, Ezra 
Dean, Josiah 
Durell, Daniel Meserve
Elliott, James 
Franklin, Jesse 
Gardner, Francis 
Garnett, James Mercer
Goodrich, Chauncey 
Gregg, Andrew 
Harris, John 
Hiester, John 
Hoge, William 
Humphrey, Reuben 
Ilsley, Daniel 
Jones, George 
Kelly, James 
Kirkpatrick, William 
Knight, Nehemiah 
Masters, Josiah 
Mathewson, Elisha 
McCreery, William 
Montgomery, Daniel 
Morrow, John 
Parke, Benjamin 
Parker, Nahum 
Pugh, John 
Richards, Jacob 
Riker, Samuel 
Russell, John 
Sloan, James 
Smith, Jedediah Kilburn
Smith, John 
Story, Joseph 
Swart, Peter 
Thomas, David 
Tiffin, Edward 
Trigg, Abram 
Van Alen, James Isaac
Van Cortlandt, Philip 
Verplanck, Daniel Crommelin
Wilbour, Isaac 
Williams, Marmaduke 
Wilson, Alexander 
Wilson, Nathan 
Witherell, James 
Meigs, Return Jonathan
Madison, James 
Allen, Joseph 
Alston, Lemuel James
Anderson, Joseph 
Blaisdell, Daniel 
Brent, Richard 
Brown, John 
Calhoun, Joseph 
Campbell, Alexander 
Campbell, John 
Chamberlain, John Curtis
Chamberlain, William 
Champlin, Christopher Grant
Cook, Orchard 
Cox, James 
Crist, Henry 
Denning, William 
Gardenier, Barent 
Gardner, Gideon 
Garland, David Shepherd
German, Obadiah 
Griswold, Stanley 
Haven, Nathaniel Appleton
Helms, William 
Hiester, Daniel 
Hillhouse, James 
Holland, James 
Howard, Benjamin 
Hubbard, Jonathan Hatch
Jenkins, Robert 
Jones, Walter 
Kenan, Thomas 
Knickerbocker, Herman 
Lambert, John 
Leib, Michael 
Livermore, Edward St. Loe
Love, John 
Lyon, Matthew 
Malbone, Francis 
Marion, Robert 
Mathews, Vincent 
McKinley, William 
Miller, Pleasant Moorman
Mumford, Gurdon Saltonstall
Nelson, Roger 
Nicholas, Wilson Cary
Nicholson, John 
Pickman, Benjamin 
Porter, John 
Poydras, Julien de Lallande
Richards, Matthias 
Robinson, Jonathan 
Say, Benjamin 
Scudder, John Anderson
Smelt, Dennis 
Smith, Samuel 
Stanly, John 
Stedman, William 
Swoope, Jacob 
Thompson, John 
Upham, Jabez 
Van Horne, Archibald 
Van Rensselaer, Killian Killian
Weakley, Robert 
Whiteside, Jenkin 
Wilson, James 
Witherspoon, Robert 
Cutts, Charles 
Taylor, John 
Worthington, Thomas 
Bacon, Ezekiel 
Baker, John 
Bartlett, Josiah 
Bayard, James Asheton
Blackledge, William 
Bleecker, Harmanus 
Blount, Thomas 
Boyd, Adam 
Butler, William 
Carr, Francis 
Chittenden, Martin 
Cobb, Howell 
Cochran, James 
Cooke, Thomas Burrage
Crawford, William Harris
Cutts, Richard 
Dinsmoor, Samuel 
Emott, James 
Fitch, Asa 
Gannett, Barzillai 
Giles, William Branch
Gilman, Nicholas 
Gray, Edwin 
Green, Isaiah Lewis
Hall, Obed 
Harper, John Adams
Howell, Jeremiah Brown
Key, Philip Barton
Lefever, Joseph 
Livingston, Robert Le Roy
Maxwell, George Clifford
McBryde, Archibald 
Metcalf, Arunah 
Milnor, James 
Mitchill, Samuel Latham
Montgomery, John 
Morgan, James 
Newbold, Thomas 
Paulding, William 
Pond, Benjamin 
Quincy, Josiah 
Rodman, William 
Sammons, Thomas 
Seaver, Ebenezer 
Shaw, Samuel 
Smilie, John 
Smith, George 
Stow, Silas 
Sullivan, George 
Tallman, Peleg 
Tracy, Uri 
Turner, Charles 
Turner, James 
Van Cortlandt, Pierre 
Varnum, Joseph Bradley
White, Leonard 
Widgery, William 
Williams, David Rogerson
Wilson, Thomas 
Winn, Richard 
Destréhan, Jean Noel
Magruder, Allan Bowie
Posey, Thomas 
Barnett, William 
Bayly, Thomas Monteagle
Beall, Reasin 
Benson, Egbert 
Bibb, William Wyatt
Bigelow, Abijah 
Bines, Thomas 
Bledsoe, Jesse 
Bond, Shadrack 
Bowen, John Henry
Bowers, John Myer
Boyd, Alexander 
Brown, Robert 
Bulloch, William Bellinger
Butler, Ezra 
Caperton, Hugh 
Cheves, Langdon 
Conard, John 
Coxe, William 
Crouch, Edward 
Daggett, David 
Dana, Samuel 
Davis, Roger 
Davis, Samuel 
Dawson, John 
Denoyelles, Peter 
Dewey, Daniel 
Duval, William Pope
Ely, William 
Evans, David Reid
Farrow, Samuel 
Forney, Peter 
Franklin, Meshack 
Fromentin, Eligius 
Geddes, James 
Gloninger, John 
Gourdin, Theodore 
Harris, Thomas K.
Hasbrouck, Abraham Joseph
Hawkins, Joseph H.
Hempstead, Edward 
Henderson, Samuel 
Hopkins, Samuel 
Hopkins, Samuel Miles
Howell, Nathaniel Woodhull
Hubbard, Levi 
Hufty, Jacob 
Humphreys, Parry Wayne
Hyneman, John M.
Jackson, Richard 
Kennedy, William 
Kershaw, John 
Lacock, Abner 
Lefferts, John 
Markell, Jacob 
Mason, Jeremiah 
McKim, Alexander 
Miller, Morris Smith
Pearson, Joseph 
Post, Jotham 
Potter, Elisha Reynolds
Rea, John 
Reed, William 
Richardson, William Merchant
Schureman, James 
Sherwood, Samuel 
Shipherd, Zebulon Rudd
Skinner, Richard 
Slaymaker, Amos 
Smith, Isaac 
Smith, John 
Smith, Samuel 
Stockton, Richard 
Stone, David 
Tait, Charles 
Tannehill, Adamson 
Thompson, Joel 
Wells, William Hill
White, Francis 
Whitehill, James 
Whitehill, Robert 
Winter, Elisha I.
Wood, Abiel 
Barry, William Taylor
Kerr, Joseph 
Locke, Francis 
Roberts, Jonathan 
Thompson, Thomas Weston
Walker, George 
Wharton, Jesse 
Adgate, Asa 
Alexander, John 
Atherton, Charles Humphrey
Avery, Daniel 
Baer, George 
Baker, Ezra 
Bard, David 
Betts, Samuel Rossiter
Birdsall, James 
Bradbury, George 
Breckinridge, James 
Brigham, Elijah 
Brooks, Micah 
Brown, Benjamin 
Burnside, Thomas 
Cady, Daniel 
Caldwell, James 
Campbell, George Washington
Carr, James 
Champion, Epaphroditus 
Chappell, John Joel
Chipman, Daniel 
Cilley, Bradbury 
Clark, James West
Clarke, Archibald Smith
Clay, Matthew 
Clendenin, David 
Clopton, John 
Conner, Samuel Shepard
Cooper, Thomas 
Crawford, William 
Crocheron, Henry 
Dana, Samuel Whittlesey
Davenport, John 
Dickens, Samuel 
Easton, Rufus 
Findley, William 
Fisk, Jonathan 
Fletcher, Thomas 
Gaston, William 
Gholson, Thomas 
Glasgow, Hugh 
Gold, Thomas Ruggles
Goldsborough, Charles 
Gore, Christopher 
Griffin, Isaac 
Grosvenor, Thomas Peabody
Hahn, John 
Hale, William 
Hall, Bolling 
Hammond, Jabez Delno
Hawes, Aylett 
Henderson, Bennett H.
Horsey, Outerbridge 
Huger, Benjamin 
Hulbert, John Whitefield
Hungerford, John Pratt
Hunter, William 
Irwin, Jared 
Jackson, John George
Jewett, Luther 
Kent, Moss 
Kerr, John 
Kilbourne, James 
King, Cyrus 
Langdon, Chauncey 
Lattimore, William 
Law, Lyman 
Lewis, Joseph 
Love, William Carter
Lovett, John 
Lyle, Aaron 
Lyon, Asa 
Marsh, Charles 
Mayrant, William 
McKee, Samuel 
McLean, John 
Moffitt, Hosea 
Moore, Nicholas Ruxton
Moore, Thomas 
Murfree, William Hardy
Noyes, John 
Ormsby, Stephen 
Pickering, Timothy 
Piper, William 
Porter, Peter Buell
Powell, Samuel 
Schenck, Abraham Henry
Sevier, John 
Sharp, Solomon P.
Sheffey, Daniel 
Smith, Thomas 
Smith, William Stephens
Stanford, Richard 
Stearns, Asahel 
Stephenson, Benjamin 
Sturges, Lewis Burr
Taggart, Samuel 
Tallmadge, Benjamin 
Tate, Magnus 
Taul, Micah 
Taylor, John 
Telfair, Thomas 
Thomas, Isaac 
Throop, Enos Thompson
Tichenor, Isaac 
Vose, Roger 
Ward, Artemas 
Ward, Jonathan 
Ward, Thomas 
Wheaton, Laban 
Wilcox, Jeduthun 
Williams, Jonathan 
Willoughby, Westel 
Wilson, James Jefferson
Wilson, Thomas 
Woods, John 
Woodward, William 
Yancey, Bartlett 
Yates, John Barentse
Ashmun, Eli Porter
Hanson, Alexander Contee
Hardin, Martin D.
Harper, Robert Goodloe
Mason, Armistead Thomson
Stokes, Montfort 
Monroe, James 
Allen, Heman 
Anderson, William 
Austin, Archibald 
Bellinger, Joseph 
Bennet, Benjamin 
Blount, William Grainger
Boss, John Linscom
Bryan, Joseph Hunter
Burrill, James 
Claiborne, Thomas 
Claiborne, William Charles Cole
Colston, Edward 
Comstock, Oliver Cromwell
Cook, Zadock 
Cruger, Daniel 
Cushman, John Paine
Darlington, Isaac 
Desha, Joseph 
Drake, John Reuben
Ellicott, Benjamin 
Eppes, John Wayles
Fisk, James 
Forney, Daniel Munroe
Gage, Joshua 
Gilbert, Sylvester 
Goodwyn, Peterson 
Hale, Salma 
Hasbrouck, Josiah 
Herbert, John Carlyle
Hitchcock, Peter 
Hogg, Samuel 
Holmes, Uriel 
Hopkinson, Joseph 
Hunter, William 
Huntington, Ebenezer 
Irving, William 
Kirtland, Dorrance 
Lawyer, Thomas 
Leake, Walter 
Lewis, William J.
Maclay, William 
Marr, George Washington Lent
Mason, James Brown
Middleton, Henry 
Morril, David Lawrence
Mumford, George 
Nelson, Thomas Maduit
Nesbitt, Wilson 
Ogden, David A.
Ogle, Alexander 
Orr, Benjamin 
Otis, Harrison Gray
Owen, James 
Pawling, Levi 
Pegram, John 
Pitkin, Timothy 
Pope, Nathaniel 
Porter, James 
Rice, Thomas 
Robertson, Thomas Bolling
Ross, John 
Ruggles, Nathaniel 
Savage, John 
Schuyler, Philip Jeremiah
Scudder, Tredwell 
Seybert, Adam 
Sherwood, Samuel Burr
Spangler, Jacob 
Speed, Thomas 
Spencer, John Canfield
Stewart, James 
Storer, Clement 
Strong, Solomon 
Stuart, Philip 
Tallmadge, James 
Terry, Nathaniel 
Townsend, George 
Tucker, Henry St. George
Westerlo, Rensselaer 
Whiteside, John 
Wilkin, James Whitney
Williams, John 
Williams, Thomas Scott
Wilson, John 
Wilson, William 
Edwards, Ninian 
Mellen, Prentiss 
Palmer, William Adams
Adams, Benjamin 
Allen, Nathaniel 
Anderson, Richard Clough
Archer, Stevenson 
Baker, Caleb 
Bloomfield, Joseph 
Boden, Andrew 
Brevard, Joseph 
Brown, James 
Brown, William 
Brush, Henry 
Buffum, Joseph 
Burwell, William Armisted
Butler, Thomas 
Case, Walter 
Clagett, Clifton 
Clark, Robert 
Condit, John 
Crawford, Joel 
Crowell, John 
Culbreth, Thomas 
Cuthbert, John Alfred
Davidson, William 
De Witt, Jacob Hasbrouck
Dowse, Edward 
Earle, Elias 
Elliott, John 
Ervin, James 
Fay, John 
Folger, Walter 
Ford, William Donnison
Fullerton, David 
Gray, John Cowper
Gross, Ezra Carter
Guyon, James 
Hackley, Aaron 
Hall, George 
Hall, Willard 
Hazard, Nathaniel 
Herrick, Samuel 
Hibshman, Jacob 
Hiester, Joseph 
Hostetter, Jacob 
Johnson, James 
Kendall, Jonas 
King, Rufus 
Kinsey, Charles 
Kinsley, Martin 
Lanman, James 
Linn, John 
Logan, William 
Lowrie, Walter 
Lyman, Joseph Stebbins
Maclay, William Plunkett
Marchand, David 
Mason, Jonathan 
McCreary, John 
McCullough, Thomas Grubb
McLean, Alney 
Meigs, Henry 
Merrill, Orsamus Cook
Moore, Robert 
Morton, Marcus 
Moseley, Jonathan Ogden
Murray, John 
Parker, James 
Parker, Severn Eyre
Parrott, John Fabyan
Peek, Harmanus 
Philson, Robert 
Pinckney, Charles 
Pindall, James 
Pleasants, James 
Quarles, Tunstall 
Richards, Mark 
Richmond, Jonathan 
Ringgold, Samuel 
Sage, Ebenezer 
Sampson, Zabdiel 
Settle, Thomas 
Shaw, Henry 
Simkins, Eldred 
Slocumb, Jesse 
Smith, Ballard 
Smith, Bernard 
Smith, James Strudwick
Southard, Henry 
Stevens, James 
Street, Randall S.
Strong, William 
Strother, George French
Tarr, Christian 
Taylor, Waller 
Terrell, William 
Tompkins, Caleb 
Trimble, William Allen
Walker, David 
Walker, Freeman 
Walker, John Williams
Wallace, James M.
Wendover, Peter Hercules
Holmes, David 
Mills, Elijah Hunt
Talbot, Isham 
Baldwin, Henry 
Barber, Levi 
Barbour, James 
Barstow, Gideon 
Bates, James Woodson
Bayly, Thomas 
Bigelow, Lewis 
Blackledge, William Salter
Boardman, Elijah 
Borland, Charles 
Breckinridge, James Douglas
Bryan, Henry Hunter
Bullock, Wingfield 
Burrows, Daniel 
Butler, Josiah 
Campbell, Samuel 
Cannon, Newton 
Chambers, David 
Colden, Cadwallader David
Conkling, Alfred 
Cosden, Jeremiah 
Crudup, Josiah 
Dane, Joseph 
Darlington, William 
De Wolf, James 
Denison, George 
Duncan, James 
Eustis, William 
Findlay, William 
Forrest, Thomas 
Gebhard, John 
Gross, Samuel 
Harris, Mark 
Hawkes, James 
Hernández, Joseph Marion
Hill, Mark Langdon
Hubbard, Thomas Hill
Jackson, Edward Brake
Jones, Francis 
Jones, James 
Keyes, Elias 
Kirkland, Joseph 
Lowndes, William 
McCarty, Richard 
McSherry, James 
Milnor, William 
Montgomery, Thomas 
Moore, Samuel 
Moore, Thomas Love
Murray, Thomas 
Nelson, Hugh 
Nelson, John 
New, Anthony 
Overstreet, James 
Patterson, Walter 
Phillips, John 
Pierson, Jeremiah Halsey
Pinkney, William 
Reed, Philip 
Reid, Robert Raymond
Rhea, John 
Robertson, George 
Ruggles, Charles Herman
Russ, John 
Russell, Jonathan 
Sibley, Solomon 
Smith, John Speed
Spencer, Elijah 
Sterling, Micah 
Tuthill, Selah 
Upham, Nathaniel 
Van Rensselaer, Solomon Van Vechten
Van Swearingen, Thomas 
Walker, Felix 
Walworth, Reuben Hyde
White, Phineas 
Whitman, Ezekiel 
Williamson, William Durkee
Woodson, Samuel Hughes
Worman, Ludwig 
Wright, Robert 
Brown, Ethan Allen
Kelly, William 
Lloyd, James 
Rodney, Caesar Augustus
Taylor, John 
Abbott, Joel 
Ball, William Lee
Breck, Samuel 
Brown, John 
Burton, Hutchins Gordon
Cady, John Watts
Call, Jacob 
Call, Richard Keith
Chandler, John 
Clark, Lot 
Collins, Ela 
Cushman, Joshua 
Durfee, Job 
Dwinell, Justin 
Eaton, Lewis 
Eddy, Samuel 
Edwards, Henry Waggaman
Ellis, William Cox
Foote, Charles Augustus
Forward, Walter 
Frost, Joel 
Fuller, Timothy 
Gatlin, Alfred Moore
Gazlay, James William
Harvey, Matthew 
Hayward, William 
Herkimer, John 
Hogeboom, James Lawrence
Hooks, Charles 
Jenkins, Lemuel 
Johnson, John Telemachus
Lawrence, Samuel 
Lee, John 
Leftwich, Jabez 
Litchfield, Elisha 
Livermore, Arthur 
Longfellow, Stephen 
Matlack, James 
Matson, Aaron 
McArthur, Duncan 
McIlvaine, Joseph 
Neale, Raphael 
Olin, Henry 
Outlaw, George 
Patterson, John 
Patterson, Thomas 
Plumer, William 
Prince, William 
Reynolds, James B.
Rich, Charles 
Richard, Gabriel 
Richards, John 
Rochester, William Beatty
Rogers, Thomas Jones
Ross, Thomas Randolph
Sandford, James T.
Sharpe, Peter 
Sibley, Jonas 
Smith, Arthur 
Spaight, Richard Dobbs
Stephenson, James 
Sterling, Ansel 
Stoddard, Ebenezer 
Thomas, Jesse Burgess
Thompson, Philip 
Tod, John 
Tracy, Albert Haller
Tucker, George 
Tyson, Jacob 
Udree, Daniel 
Van Dyke, Nicholas 
Van Wyck, William William
Vance, Robert Brank
Ware, Nicholas 
Warfield, Henry Ridgely
Wayne, Isaac 
White, David 
Whitman, Lemuel 
Williams, Isaac 
Williams, Jared 
Williams, Thomas Hill
Wilson, Isaac 
Woods, William 
Bouligny, Charles Dominique Joseph
Cobb, Thomas Willis
Adams, Parmenio 
Alexander, Adam Rankin
Allen, Robert 
Allison, James 
Ashley, Henry 
Badger, Luther 
Barton, David 
Baylies, Francis 
Bradley, William Czar
Campbell, John Wilson
Cary, George 
Cassedy, George 
Chambers, Henry H.
Cocke, John 
Cook, Daniel Pope
Crump, George William
Dietz, William 
Eastman, Nehemiah 
Edwards, Samuel 
Edwards, Weldon Nathaniel
Estil, Benjamin 
Farrelly, Patrick 
Findlay, John 
Fosdick, Nicoll 
Gaillard, John 
Garnett, Robert Selden
Garrison, Daniel 
Gist, Joseph 
Govan, Andrew Robison
Harris, Robert 
Hasbrouck, Abraham Bruyn
Hayden, Moses 
Henry, John Flournoy
Henry, Robert Pryor
Herrick, Ebenezer 
Hines, Richard 
Hobart, Aaron 
Hugunin, Daniel 
Humphrey, Charles 
Jennings, David 
Johnson, Francis 
Johnson, James 
Kellogg, Charles 
Kidder, David 
Kittera, Thomas 
Krebs, Jacob 
Lathrop, Samuel 
Lincoln, Enoch 
Lloyd, Edward 
Macon, Nathaniel 
Markley, Philip Swenk
Marks, William 
Martin, Robert Nicols
McManus, William 
McNeill, Archibald 
Meech, Ezra 
Meriwether, James 
Miller, John 
Mitchell, James S.
Peter, George 
Plumer, George 
Poinsett, Joel Roberts
Porter, Timothy H.
Powell, Alfred H.
Rankin, Christopher 
Ross, Henry Howard
Rowan, John 
Sands, Joshua 
Scott, John 
Shannon, Thomas 
Smith, William 
Taylor, Robert 
Ten Eyck, Egbert 
Thomson, Alexander 
Trimble, David 
White, Bartow 
Whitmore, Elias 
Willey, Calvin 
Wilson, Henry 
Wilson, John 
Worthington, Thomas Contee
Wurts, John 
Bateman, Ephraim 
Harper, William 
Pickens, Israel 
Rodney, Daniel 
Sanford, Nathan 
Smith, William 
Addams, William 
Allen, Samuel Clesson
Anderson, Samuel 
Baldwin, John 
Barker, David 
Barlow, Stephen 
Barnard, Isaac Dutton
Barney, John 
Bartlett, Ichabod 
Bassett, Burwell 
Bates, Edward 
Beecher, Philemon 
Belden, George Ogilvie
Blake, Thomas Holdsworth
Brent, William Leigh
Brown, Titus 
Bryan, John Heritage
Buck, Daniel Azro Ashley
Buckner, Richard Aylett
Bunner, Rudolph 
Burleigh, William 
Carter, John 
Chase, Samuel 
Conway, Henry Wharton
Culpepper, John 
Davenport, John 
Eaton, John Henry
Ellis, Powhatan 
Evans, David Ellicott
Floyd, John 
Floyd, John 
Fort, Tomlinson 
Gale, Levin 
Garnsey, Daniel Greene
Garrow, Nathaniel 
Haile, William 
Hallock, John 
Hamilton, James 
Healy, Joseph 
Hobbie, Selah Reeve
Holcombe, George 
Johnson, Jeromus 
Keese, Richard 
Kremer, George 
Leffler, Isaac 
Little, Peter 
Locke, John 
Long, John 
Marable, John Hartwell
Markell, Henry 
McHatton, Robert Lytle
McKee, John 
McLane, Louis 
McLean, William 
Merwin, Orange 
Miner, Charles 
Mitchell, James Coffield
Mitchell, John 
Moore, Thomas Patrick
Muhlenberg, Francis Swaine
Noble, James 
O’Brien, Jeremiah 
Oakley, Thomas Jackson
Orr, Robert 
Owen, George Washington
Parris, Albion Keith
Phelps, Elisha 
Plant, David 
Ridgely, Henry Moore
Ruggles, Benjamin 
Sawyer, Lemuel 
Seymour, Horatio 
Sinnickson, Thomas 
Sloane, John 
Smith, Samuel 
Stevenson, James S.
Stower, John G.
Taber, Thomas II
Tattnall, Edward Fenwick
Thompson, Hedge 
Tucker, Ebenezer 
Turner, Daniel 
Van Horne, Espy 
Van Rensselaer, Stephen 
Wales, George Edward
Weems, John Crompton
Whipple, Thomas 
Wilson, James 
Wilson, William 
Wood, John Jacob
Wood, Silas 
